Date,Mth,Price
1-Jan-19,0,28
1-Jul-19,6,39.43
1-Jan-20,12,38.09
1-Jul-20,18,67.26
1-Jan-21,24,90.25
1-Jul-21,30,83
1-Jan-22,36,30.81
1-Jul-22,42,19
1-Jan-23,48,25.73
1-Jul-23,54,8.89
1-Jan-24,60,11.24
1-Jul-24,66,3.16
1-Jan-25,72,1.67
